unicode	char	fanti	jianti	group	level	is_radical	ids	pinyin	radical	strokes	stroke_seq	freq	basic
U+6BD4	比	比	比	A1a	一级	★	⿰匕匕	bǐ	比	4	1535	12047609	1
U+4E92	互	互	互	A1a	一级		⿱一彑	hù	二	4	1551	1902004	1
U+5207	切	切	切	A1a	一级		⿰七刀	qiē / qiè	刀（刂）	4	1553	2108315	1
U+74E6	瓦	瓦	瓦	A1a	一级	★	⿱⿵⿸丅㇈丶㇀	wǎ / wà	瓦	4	1554	580031	1
U+6B62	止	止	止	A1a	一级	★	⿺丄⺊	zhǐ	止	4	2121	1735030	1
U+5C11	少	少	少	A1a	一级		⿱小㇒	shǎo / shào	小	4	2343	5543925	1
U+66F0	曰	曰	曰	A1a	一级	★	⿴囗一	yuē	曰	4	2511	41547	0
U+65E5	日	日	日	A1a	一级	★	⿴囗一	rì	日	4	2511	22271760	1
U+4E2D	中	中	中	A1a	一级		⿻丨口	zhōng / zhòng	丨	4	2512	44057898	1
U+8D1D	贝	貝	贝	A1a	一级	★	⿱冂人	bèi	贝（貝）	4	2534	671399	1
U+5185	内	內	内	A1a	一级		⿻人冂	nèi	入	4	2534	10469875	1
U+6C34	水	水	水	A1a	一级	★	⿲㇇亅⿺乀丿	shuǐ	水（氵氺）	4	2534	7647338	1
U+89C1	见	見	见	A1a	一级	★	⿱冂⿸丿乚	jiàn / xiàn	见	4	2535	3870512	1
U+5348	午	午	午	A1a	一级		⿱𠂉十	wǔ	十	4	3112	2421231	1
U+725B	牛	牛	牛	A1a	一级	★	⿰㇒𰀁	niú	牛	4	3112	941035	1
U+624B	手	手	手	A1a	一级	★	⿱㇒⿻二亅	shǒu	手（扌龵）	4	3112	8660297	1
U+6C14	气	氣	气	A1a	一级	★	⿱𠂉𠀂	qì	气	4	3115	4673466	1
U+6BDB	毛	毛	毛	A1a	一级	★	⿻乇一	máo	毛	4	3115	864582	1
U+5347	升	升	升	A1a	一级		⿱㇒廾	shēng	十	4	3132	3744452	1
U+957F	长	長	长	A1a	一级	★	⿸⿺⿻一𠄌㇒乀	cháng / zhǎng	丿	4	3154	12869853	1
U+4EC1	仁	仁	仁	A1a	一级		⿰亻二	rén	人（亻）	4	3211	478575	1
U+4EC0	什	什	什	A1a	一级		⿰亻十	shén / shí	人（亻）	4	3212	3027501	1
U+7247	片	片	片	A1a	一级	★	⿰丨⿱丄𠃍	piān / piàn	片	4	3215	3299209	1
U+5316	化	化	化	A1a	一级		⿰亻匕	huā / huà	匕	4	3235	11014332	1
U+4EC7	仇	仇	仇	A1a	一级		⿰亻九	chóu / qiú	人（亻）	4	3235	108940	0
U+5E01	币	幣	币	A1a	一级		⿱㇒巾	bì	巾	4	3252	1613569	0
U+4ECD	仍	仍	仍	A1a	一级		⿰亻乃	réng	人（亻）	4	3253	2126855	1
U+4EC5	仅	僅	仅	A1a	一级		⿰亻又	jǐn / jìn	人（亻）	4	3254	3230471	1
U+65A4	斤	斤	斤	A1a	一级	★	⿸𠂆丅	jīn	斤	4	3312	441568	0
