char	code	code_short	code_more	units	flag
堰	fajv			〖※※※〗	
揩	rxxr			〖※※※〗	
越	fhgy			〖※※※〗	
趁	fhwe			〖※※※〗	
趋	fhqv	fhq		〖※※※〗	
超	fhvk	fhv		〖※※※〗	
揽	rjtq	rjt		〖※※※〗	
堤	fjgh			〖※※※〗	
提	rjgh	rj		〖※※※〗	
博	fgef	fge		〖※※※〗	
揭	rjqn	rjq		〖※※※〗	
喜	fkuk	fk		〖※※※〗	
彭	fkue			〖※※※〗	
揣	rmdj	rmd		〖※※※〗	
插	rtfe	rtf		〖※※※〗	
揪	rtoy			〖※※※〗	捺·左右〔丶 ⿰〕
搜	rehc			〖※※※〗	
煮	ftjo			〖※※※〗	
援	regc	reg		〖※※※〗	
搀	rqku			〖※※※〗	
裁	fyey	fy/fye		〖※※※〗	
搁	rutk	rut		〖※※※〗	
搓	ruga			〖※※※〗	
搂	rovg	rov		〖※※※〗	横·左右〔一 ⿰〕
搅	ripq	rip		〖※※※〗	
壹	fpgu	fpg		〖※※※〗	
握	rngf	rng		〖※※※〗	
搔	rcyj			〖※※※〗	
揉	rcns			〖※※※〗	
斯	adwr			〖※※※〗	
期	adwe			〖※※※〗	
欺	adww			〖※※※〗	
联	budy	bu/bud		〖※※※〗	捺·左右〔丶 ⿰〕
葫	adef			〖※※※〗	横·上下〔一 ⿱〕
散	aety			〖※※※〗	捺·左右〔丶 ⿰〕
惹	adkn			〖※※※〗	
葬	agqa	agq		〖※※※〗	
募	ajde			〖※※※〗	
葛	ajqn	ajq		〖※※※〗	
董	atgf	atg		〖※※※〗	
葡	aqgy	aqg		〖※※※〗	
敬	aqkt	aqk		〖※※※〗	
葱	aqrn	aqr		〖※※※〗	
蒋	auqf	au		〖※※※〗	
蒂	ayuh	ayu		〖※※※〗	
落	aitk	ait		〖※※※〗	
韩	fjfh			〖※※※〗	
朝	fjfe	fjf		〖※※※〗	
辜	dufj	duf		〖※※※〗	竖·上下〔丨 ⿱〕
葵	awgd	awg		〖※※※〗	
棒	sdwg	sdw		〖※※※〗	
棱	sfwt	sfw		〖※※※〗	
棋	sadw	sad		〖※※※〗	
椰	sbbh	sbb		〖※※※〗	竖·左右〔丨 ⿰〕
植	sfhg			〖※※※〗	横·左右〔一 ⿰〕
森	sssu	sss		〖※※※〗	捺·上下〔丶 ⿱〕
焚	ssou	sso		〖※※※〗	捺·上下〔丶 ⿱〕
椅	sdsk	sds		〖※※※〗	
椒	shgc			〖※※※〗	
棵	sjsy	sjs		〖※※※〗	捺·左右〔丶 ⿰〕
棍	sjxx	sjx		〖※※※〗	
椎	swyg	swy		〖※※※〗	横·左右〔一 ⿰〕
棉	srmh	srm		〖※※※〗	
棚	seeg	se/see		〖※※※〗	横·左右〔一 ⿰〕
棕	spfi	spf		〖※※※〗	
棺	sphn	sph		〖※※※〗	
榔	syvb	syv		〖※※※〗	
椭	sbde	sbd		〖※※※〗	
惠	gjhn	gjh		〖※※※〗	
惑	akgn			〖※※※〗	
逼	gklp			〖※※※〗	
粟	sou			〖※※〗	捺·上下〔丶 ⿱〕
棘	gmii			〖※※※〗	
