汉字	全码	简码	容错码	一级简码	二级简码	键名字根	笔画字根	成字字根	字根拆解	笔画拆解
皿	lhng	lhn		0	0	0	0	0	※※※	
凹	mmgd		*mm/hnmg/mmgd	0	0	0	0	0	※※※	
囚	lwi			0	0	0	0	0	※※	
四	lhng	lh		0	1	0	0	1	※※※	
生	tgd	tg		0	1	0	0	0	※※	
矢	tdu			0	0	0	0	0	※※	
失	rwi	rw		0	1	0	0	0	※※	
乍	thfd	thf		0	0	0	0	0	※※※	
禾	tttt	t/ttt		0	0	1	0	0	※※※	
丘	rgd			0	0	0	0	0	※※	
付	wfy			0	0	0	0	0	※※	
仗	wdyy			0	0	0	0	0	※※※	
代	way	wa		0	1	0	0	0	※※	
仙	wmh	wm		0	1	0	0	0	※※	
们	wun	wu		0	1	0	0	0	※※	
仪	wyqy	wyq		0	0	0	0	0	※※※	
白	rrrr	r/rrr		0	0	1	0	0	※※※	
仔	wbg			0	0	0	0	0	※※	
他	wbn	wb		0	1	0	0	0	※※	
斥	ryi			0	0	0	0	0	※※	
瓜	rcyi	rcy		0	0	0	0	0	※※※	
乎	tuhk	tuh		0	0	0	0	0	※※※	
丛	wwgf	wwg		0	0	0	0	0	※※※	
令	wycu	wyc		0	0	0	0	0	※※※	
用	etnh	et		0	1	0	0	1	※※※	
甩	env	en		0	1	0	0	0	※※	
印	qgbh	qgb		0	0	0	0	0	※※※	
尔	qiu			0	0	0	0	0	※※	
乐	qii	qi		0	1	0	0	0	※※	
句	qkd			0	0	0	0	0	※※	
匆	qryi	qry		0	0	0	0	0	※※※	
册	mmgd	mm		0	1	0	0	0	※※※	
卯	qtbh			0	0	0	0	0	※※※	
犯	qtbn		qtb	0	0	0	0	0	※※※	
外	qhy	qh		0	1	0	0	0	※※	
处	thi	th		0	1	0	0	0	※※	
冬	tuu			0	0	0	0	0	※※	
鸟	qyng			0	0	0	0	0	※※※	
务	tlb	tl	*tlb/tlr	0	1	0	0	0	※※	
包	qnv	qn		0	1	0	0	0	※※	
饥	qnmn	qnm		0	0	0	0	0	※※※	
主	ygd	y/yg		1	1	0	0	0	※※	
市	ymhj			0	0	0	0	0	※※※	
立	uuuu	u/uu/uuu		0	1	1	0	0	※※※	
冯	ucg	uc		0	1	0	0	0	※※	
玄	yxu			0	0	0	0	0	※※	
闪	uwi	uw		0	1	0	0	0	※※	
兰	uff			0	0	0	0	0	※※	
半	ufk	uf		0	1	0	0	0	※※	
汁	ifh			0	0	0	0	0	※※	
汇	ian			0	0	0	0	0	※※	
头	udi			0	0	0	0	0	※※	
汉	icy	ic		0	1	0	0	0	※※	
宁	psj	ps		0	1	0	0	0	※※	
穴	pwu			0	0	0	0	0	※※	
它	pxb	px		0	1	0	0	0	※※	
讨	yfy			0	0	0	0	0	※※	
写	pgng	pgn		0	0	0	0	0	※※※	
让	yhg	yh		0	1	0	0	0	※※	
礼	pynn			0	0	0	0	0	※※※	
训	ykh	yk		0	1	0	0	0	※※	
议	yyqy	yyq		0	0	0	0	0	※※※	
必	nte	nt		0	1	0	0	0	※※	
讯	ynfh	ynf		0	0	0	0	0	※※※	
记	ynn	yn		0	1	0	0	0	※※	
永	ynii	yni		0	0	0	0	0	※※※	
司	ngkd	ngk		0	0	0	0	0	※※※	
尼	nxv	nx		0	1	0	0	0	※※	
民	nav	n/na		1	1	0	0	0	※※	
弗	xjk			0	0	0	0	0	※※	
弘	xcy			0	0	0	0	0	※※	
出	bmk	bm		0	1	0	0	0	※※	
辽	bpk	bp		0	1	0	0	0	※※	
奶	ven	ve	*ven/vet	0	1	0	0	0	※※	
奴	vcy			0	0	0	0	0	※※	
召	vkf			0	0	0	0	0	※※	
加	lkg	lk		0	1	0	0	0	※※	
皮	hci	hc		0	1	0	0	0	※※	
边	lpv	lp	*lpe/lpv	0	1	0	0	0	※※	
孕	ebf			0	0	0	0	0	※※	
发	ntcy	v/ntc		1	0	0	0	0	※※※	
圣	cff			0	0	0	0	0	※※	
对	cfy	cf		0	1	0	0	0	※※	
台	ckf	ck		0	1	0	0	0	※※	
矛	cbtr	cbt		0	0	0	0	0	※※※	
纠	xnhh	xnh		0	0	0	0	0	※※※	
母	xgui		*xgu/xgui/xyyi	0	0	0	0	0	※※※	
幼	xln		*xln/xlt	0	0	0	0	0	※※	
丝	xxgf	xxg		0	0	0	0	0	※※※	
邦	dtbh	dtb		0	0	0	0	0	※※※	
式	aad	aa	*aad	0	1	0	0	0	※※	
迂	gfpk	gfp		0	0	0	0	0	※※※	
刑	gajh			0	0	0	0	0	※※※	
戎	ade			0	0	0	0	0	※※	
动	fcln	fcl	*fcln/fclt	0	0	0	0	0	※※※	
扛	rag			0	0	0	0	0	※※	
寺	ffu	ff		0	1	0	0	0	※※	
吉	fkf	fk		0	1	0	0	0	※※	
扣	rkg	rk		0	1	0	0	0	※※	
考	ftgn	ftg		0	0	0	0	0	※※※	
托	rtan	rta		0	0	0	0	0	※※※	
老	ftxb	ftx		0	0	0	0	0	※※※	
巩	amyy	amy		0	0	0	0	0	※※※	
圾	feyy	fe/fey		0	1	0	0	0	※※※	
执	rvyy	rvy		0	0	0	0	0	※※※	
扩	ryt	ry		0	1	0	0	0	※※	
扫	rvg	rv		0	1	0	0	0	※※	
地	fbn	f/fb		1	1	0	0	0	※※	
场	fnrt			0	0	0	0	0	※※※	
扬	rnrt	rnr		0	0	0	0	0	※※※	
耳	bghg	bgh		0	0	0	0	1	※※※	
芋	agfj	agf		0	0	0	0	0	※※※	
共	awu	aw		0	1	0	0	0	※※	
芒	aynb	ayn		0	0	0	0	0	※※※	
亚	gogd	gog		0	0	0	0	0	※※※	
芝	apu	ap		0	1	0	0	0	※※	
朽	sgnn			0	0	0	0	0	※※※	
朴	shy			0	0	0	0	0	※※	
机	smn	sm		0	1	0	0	0	※※	
权	scy	sc		0	1	0	0	0	※※	
过	fpi	fp		0	1	0	0	0	※※	
臣	ahnh	ahn		0	0	0	0	0	※※※	
吏	gkqi	gkq		0	0	0	0	0	※※※	
再	gmfd	gmf		0	0	0	0	0	※※※	
协	flwy	fl/flw		0	1	0	0	0	※※※	
西	sghg			0	0	0	0	1	※※※	
压	dfyi	dfy		0	0	0	0	0	※※※	
厌	ddi			0	0	0	0	0	※※	
