unicode	char	group	level	ids	strokes	pinyin	stroke_seq	radical	freq	basic
U+810E	脎	0	三级	⿰月杀	10	sà	3511341234	⺼	20	0
U+6713	朓	0	三级	⿰月兆	10	tiǎo	3511341534	月	20	0
U+80F2	胲	0	三级	⿰月亥	10	hǎi	3511415334	⺼	69	0
U+8653	虓	0	三级	⿰九虎	10	xiāo	3521531535	虍	37	0
U+9C7D	鱽	0	三级	⿰鱼刀	10	dāo	3525121153	魚	23	0
U+72F4	狴	0	三级	⿰犭坒	10	bì	3531535121	犭	536	0
U+5CF1	峱	0	三级	⿰犭⿱丑山	10	náo	3535211252	山	1	0
U+72FB	狻	0	三级	⿰犭夋	10	suān	3535434354	犭	1715	0
U+7722	眢	0	三级	⿱夗目	10	yuān	3545525111	目	38	0
U+2B5E7	𫗧	0	三级	⿰饣束	10	sù	3551251234	食（饣飠）	0	0
U+52CD	勍	0	三级	⿰京力	10	qíng	4125123453	力	13	0
U+75C4	痄	0	三级	⿸疒乍	10	zhà	4134131211	疒	27	0
U+75B0	疰	0	三级	⿸疒主	10	zhù	4134141121	疒	18	0
U+75C3	痃	0	三级	⿸疒玄	10	xuán	4134141554	疒	9	0
U+7AD8	竘	0	三级	⿰立句	10	qǔ	4143135251	立	2	0
U+7F96	羖	0	三级	⿰羊殳	10	gǔ	4311133554	羊	252	0
U+7F93	羓	0	三级	⿰羊巴	10	bā	4311135215	羊	3	0
U+684A	桊	0	三级	⿱𠔉木	10	juàn	4311341234	木	40	0
U+6549	敉	0	三级	⿰米攵	10	mǐ	4312343134	攵	114	0
U+70E0	烠	0	三级	⿰火有	10	huí	4334132511	火（灬）	0	0
U+70D4	烔	0	三级	⿰火同	10	tóng	4334251251	火（灬）	83	0
U+70F6	烶	0	三级	⿰火廷	10	tǐng	4334312154	火（灬）	0	0
U+70FB	烻	0	三级	⿰火延	10	yàn	4334321554	火（灬）	1	0
U+2C288	𬊈	0	三级	⿰火寻	10	xún	4334511124		0	0
U+6D8D	涍	0	三级	⿰氵孝	10	xiào	4411213521	水（氵氺）	2	0
U+6D61	浡	0	三级	⿰氵孛	10	bó	4411245521	水（氵氺）	6	0
U+6D6D	浭	0	三级	⿰氵更	10	gēng	4411251134	水（氵氺）	8	0
U+6D6C	浬	0	三级	⿰氵里	10	lǐ	4412511211	水（氵氺）	46	0
U+6D84	涄	0	三级	⿰氵甹	10	pīng	4412512115	水（氵氺）	0	0
U+6DA2	涢	0	三级	⿰氵员	10	yún	4412512534	水（氵氺）	5	0
U+6D90	涐	0	三级	⿰氵我	10	é	4413121534	水（氵氺）	2	0
U+6D70	浰	0	三级	⿰氵利	10	liàn	4413123422	水（氵氺）	37	0
U+6D5F	浟	0	三级	⿰氵攸	10	yóu	4413223134	水（氵氺）	10	0
U+6D5B	浛	0	三级	⿰氵含	10	hán	4413445251	水（氵氺）	1	0
U+6D7C	浼	0	三级	⿰氵免	10	měi	4413525135	氵	154	0
U+6D72	浲	0	三级	⿰氵夆	10	féng	4413541112	水（氵氺）	1	0
U+6D98	涘	0	三级	⿰氵矣	10	sì	4415431134	水（氵氺）	623	0
U+6088	悈	0	三级	⿰忄戒	10	jiè	4421132534	心（忄⺗）	0	0
U+6083	悃	0	三级	⿰忄困	10	kǔn	4422512341	忄	190	0
U+60A2	悢	0	三级	⿰忄良	10	liàng	4424511534	心（忄⺗）	15	0
